               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079001,            0.018868,            0.031735,             0.30125,             0.20814,             0.14727,            0.052033,            0.062926,           0.0093724,            0.018518,            0.070026,           0.0033305,           0.0033305
                   1,             0.06335,            0.015877,             0.02024,             0.29773,             0.25767,             0.20032,            0.068458,            0.060404,           0.0094131,             0.01717,            0.039366,           0.0060041,           0.0060041
                   2,            0.062465,            0.015789,             0.01956,             0.28262,              0.2552,             0.18823,            0.059946,            0.062123,           0.0094027,            0.017116,           0.0080465,           0.0080177,           0.0080177
                   3,            0.063542,            0.015966,            0.020404,             0.28686,             0.28201,               0.199,            0.069037,            0.062317,           0.0095133,            0.019275,             0.00703,             0.00703,             0.00703
                   4,            0.061097,            0.015696,            0.018947,             0.36968,             0.31598,             0.26393,            0.094171,            0.058232,           0.0090803,            0.015372,             0.00703,             0.00703,             0.00703
                   5,            0.058627,            0.015382,              0.0171,             0.37971,             0.33196,             0.28023,             0.10247,            0.057614,           0.0089196,            0.015732,             0.00604,             0.00604,             0.00604
                   6,            0.056758,            0.015321,            0.016413,             0.43698,             0.36529,              0.3426,             0.13226,             0.05509,           0.0086653,            0.014004,             0.00505,             0.00505,             0.00505
                   7,            0.055275,            0.014849,            0.015393,             0.44894,              0.4123,             0.38594,             0.15337,            0.052849,           0.0085212,            0.011632,             0.00406,             0.00406,             0.00406
                   8,             0.05287,            0.014592,            0.014073,             0.47161,              0.4383,             0.41612,             0.16434,            0.052084,           0.0084526,             0.01223,             0.00307,             0.00307,             0.00307
                   9,            0.051747,            0.014379,            0.013039,             0.49457,             0.43229,             0.41994,             0.16781,            0.051151,           0.0083541,             0.01126,             0.00208,             0.00208,             0.00208
